Year,Month,Temperature,Humidity,Rainfall,Wind Speed
2023,Jan,26.47,79.939,141.25,3.022
2023,Feb,26.816,77.641,95.269,3.371
2023,Mar,26.911,78.485,153.221,3.299
2023,Apr,27.953,80.644,165.963,2.449
2023,May,28.78,77.302,141.876,2.724
2023,Jun,28.292,78.919,166.192,2.818
2023,Jul,28.073,80.473,193.798,2.731
2023,Aug,27.547,83.424,365.104,2.403
2023,Sep,27.88,82.375,277.54,2.765
2023,Oct,28.0,82.149,203.959,2.153
2023,Nov,27.547,82.898,281.112,2.449
2023,Dec,27.134,84.997,348.217,2.757
