Year,Month,Temperature,Humidity,Rainfall,Wind Speed
1940,Jan,24.549,83.37,144.776,-0.761
1941,Jan,24.982,85.104,208.931,-0.232
1942,Jan,24.564,88.554,340.512,-0.274
1943,Jan,24.674,76.025,33.223,-2.191
1944,Jan,24.499,81.509,88.254,-1.789
1945,Jan,24.75,86.987,292.242,0.341
1946,Jan,24.578,86.934,220.926,0.28
1947,Jan,25.069,87.577,207.223,-0.777
1948,Jan,24.486,87.52,231.794,-1.952
1949,Jan,25.35,75.498,12.867,-1.397
1950,Jan,25.803,78.408,28.497,-0.543
1951,Jan,24.79,85.596,159.861,-1.218
1952,Jan,25.483,86.635,257.274,-1.795
1953,Jan,25.184,87.503,187.267,-1.705
1954,Jan,25.32,87.356,285.263,-0.388
1955,Jan,24.515,88.628,307.581,-1.634
1956,Jan,24.589,86.259,216.746,-0.833
1957,Jan,24.906,84.881,139.578,-1.274
1958,Jan,25.808,83.997,104.756,-1.607
1959,Jan,25.218,85.522,159.279,-2.012
1960,Jan,25.276,84.516,169.784,-0.659
1961,Jan,25.18,82.368,120.35,-1.741
1962,Jan,24.946,84.704,177.017,-1.124
1963,Jan,24.696,80.512,96.251,-1.572
1964,Jan,25.702,85.682,201.988,-0.802
1965,Jan,24.626,77.823,84.365,-1.904
1966,Jan,25.081,87.832,250.659,-0.151
1967,Jan,25.076,85.576,188.394,0.169
1968,Jan,24.88,82.494,73.169,-1.234
1969,Jan,25.796,84.335,119.15,-0.996
1970,Jan,25.355,85.667,239.427,-1.044
1971,Jan,24.667,84.185,145.866,-0.862
1972,Jan,24.914,79.698,71.388,-1.557
1973,Jan,25.563,84.224,160.987,-1.192
1974,Jan,24.902,78.926,29.151,-1.482
1975,Jan,25.371,83.688,135.144,-0.795
1976,Jan,24.811,76.273,26.934,-1.709
1977,Jan,25.515,80.377,84.147,-1.316
1978,Jan,25.506,83.373,120.822,-1.015
1979,Jan,25.329,83.573,100.067,-1.804
1980,Jan,25.394,82.955,114.934,-1.009
1981,Jan,25.268,79.088,59.902,-1.375
1982,Jan,25.022,80.849,104.356,-1.369
1983,Jan,25.694,86.752,169.784,-1.81
1984,Jan,24.814,87.727,319.067,-0.888
1985,Jan,25.517,83.971,133.799,-1.515
1986,Jan,24.975,84.755,275.994,-1.295
1987,Jan,25.026,86.64,312.488,-1.141
1988,Jan,25.872,86.502,187.122,-1.058
1989,Jan,25.634,86.984,257.238,-1.491
1990,Jan,25.483,84.396,146.702,-0.703
1991,Jan,25.609,86.165,179.416,-0.863
1992,Jan,25.553,84.419,125.766,-2.195
1993,Jan,25.575,85.546,380.75,-1.57
1994,Jan,25.906,82.366,129.364,-1.275
1995,Jan,25.701,87.2,259.71,-1.27
1996,Jan,25.212,82.114,145.757,-1.106
1997,Jan,25.987,77.199,24.317,-2.014
1998,Jan,26.693,86.026,225.906,-1.796
1999,Jan,25.834,86.902,269.778,-0.414
2000,Jan,25.493,86.953,279.483,-0.99
2001,Jan,25.771,85.645,289.661,-0.33
2002,Jan,25.849,84.422,166.04,-1.966
2003,Jan,26.008,85.376,257.892,-1.105
2004,Jan,26.227,84.446,179.961,-1.84
2005,Jan,25.753,81.569,196.754,-1.796
2006,Jan,26.044,84.459,219.363,-0.813
2007,Jan,25.862,86.022,301.183,-0.292
2008,Jan,26.027,86.323,253.93,-0.714
2009,Jan,25.773,81.239,104.538,-1.178
2010,Jan,26.535,83.642,200.607,-1.144
2011,Jan,25.466,86.646,315.396,-0.73
2012,Jan,26.239,84.773,138.051,-0.227
2013,Jan,26.525,84.342,158.298,-0.71
2014,Jan,25.608,80.487,73.787,-1.349
2015,Jan,26.159,81.532,215.074,-1.111
2016,Jan,27.468,86.283,219.072,-1.69
2017,Jan,26.859,85.915,291.987,-0.184
2018,Jan,25.988,86.912,382.568,0.451
2019,Jan,27.186,82.082,130.2,-0.49
2020,Jan,27.108,83.584,125.693,-1.444
2021,Jan,25.744,85.331,261.346,-1.071
2022,Jan,26.815,80.212,156.298,-1.008
1940,Feb,25.042,79.811,56.591,-1.519
1941,Feb,25.426,83.538,137.635,-1.264
1942,Feb,25.072,84.699,142.313,-0.649
1943,Feb,25.025,77.212,47.089,-1.903
1944,Feb,25.281,76.855,47.986,-1.382
1945,Feb,24.888,88.631,397.514,-0.045
1946,Feb,24.238,89.817,447.766,-0.024
1947,Feb,25.25,86.307,178.688,-0.841
1948,Feb,25.178,83.753,61.205,-1.444
1949,Feb,25.665,75.694,46.465,-0.537
1950,Feb,25.858,83.574,133.314,-0.861
1951,Feb,25.221,84.955,133.158,-0.98
1952,Feb,25.852,85.67,99.363,-1.493
1953,Feb,25.311,86.207,201.296,-0.685
1954,Feb,25.376,86.608,240.054,-1.432
1955,Feb,25.534,82.746,76.558,-1.383
1956,Feb,25.348,84.716,156.139,-0.947
1957,Feb,25.485,83.365,118.568,-1.252
1958,Feb,25.669,84.393,144.05,-1.518
1959,Feb,25.838,84.552,144.875,-1.851
1960,Feb,25.376,83.979,122.341,-1.565
1961,Feb,25.685,81.355,112.844,-1.464
1962,Feb,25.165,81.246,82.996,-1.997
1963,Feb,24.651,84.757,154.497,-2.177
1964,Feb,25.496,87.619,203.664,-1.716
1965,Feb,25.363,85.584,178.042,-1.179
1966,Feb,25.651,86.517,236.58,-0.753
1967,Feb,25.014,83.848,176.794,-1.381
1968,Feb,25.632,77.02,34.882,-2.223
1969,Feb,25.93,83.559,86.515,-1.236
1970,Feb,25.607,83.106,113.779,-2.027
1971,Feb,25.039,83.577,108.389,-0.849
1972,Feb,25.776,81.411,107.53,-0.677
1973,Feb,26.189,82.515,77.872,-1.758
1974,Feb,25.085,84.622,183.276,-1.085
1975,Feb,25.377,82.827,200.294,-0.92
1976,Feb,25.832,74.268,42.219,-1.893
