Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1940,144.776,56.591,90.001,207.642,220.106,119.8,88.354,113.354,168.626,171.085,214.809,284.695
1941,208.931,137.635,225.335,194.121,336.366,106.309,126.922,148.389,150.953,194.864,352.699,315.628
1942,340.512,142.313,140.286,209.874,202.949,143.377,132.35,171.055,228.72,201.447,241.059,257.341
1943,33.223,47.089,105.695,70.029,143.449,73.375,126.844,138.979,249.268,310.205,337.332,200.089
1944,88.254,47.986,76.475,201.654,227.493,76.483,178.968,100.503,151.559,244.5,236.365,202.75
1945,292.242,397.514,419.478,190.923,178.215,153.098,182.786,202.347,143.61,232.849,347.38,229.927
1946,220.926,447.766,220.481,243.976,168.421,92.388,68.564,89.322,100.201,241.945,228.16,216.324
1947,207.223,178.688,210.651,190.73,224.729,207.393,199.563,312.816,275.766,283.741,247.387,254.502
1948,231.794,61.205,72.114,100.956,140.566,180.08,194.837,162.833,135.952,173.9,147.15,151.915
1949,12.867,46.465,15.645,1.009,0.548,28.107,76.304,52.288,66.673,36.339,113.808,88.394
1950,28.497,133.314,157.015,208.135,197.278,208.584,206.654,276.263,183.694,168.097,201.771,111.549
1951,159.861,133.158,108.947,122.589,85.807,87.428,141.595,91.725,76.554,134.919,178.372,205.914
1952,257.274,99.363,237.703,218.372,155.244,100.192,96.016,76.8,142.599,216.477,247.734,131.067
1953,187.267,201.296,296.34,234.748,201.782,161.596,198.369,149.426,127.373,192.222,221.623,214.313
1954,285.263,240.054,214.716,324.779,185.507,234.376,221.743,203.788,153.805,283.828,289.838,349.548
1955,307.581,76.558,139.719,242.989,169.422,141.426,160.996,236.117,262.719,299.724,144.056,267.721
1956,216.746,156.139,165.663,232.709,239.026,122.346,137.284,185.752,190.881,333.984,383.295,221.056
1957,139.578,118.568,302.278,259.128,299.17,148.866,185.591,117.907,166.47,238.09,204.1,344.846
1958,104.756,144.05,190.128,143.536,262.783,116.89,84.381,258.302,213.741,300.287,373.108,162.561
1959,159.279,144.875,171.329,235.692,226.54,227.729,112.715,104.171,91.623,227.651,266.926,168.032
1960,169.784,122.341,137.379,191.953,172.568,120.428,156.685,171.46,242.239,188.453,226.108,208.458
1961,120.35,112.844,89.878,199.83,167.468,121.123,89.731,86.615,52.997,92.343,215.643,284.074
1962,177.017,82.996,264.213,175.32,185.507,144.369,91.886,202.195,144.149,209.633,237.651,122.254
1963,96.251,154.497,86.133,71.489,158.652,96.257,117.338,125.572,105.142,211.929,166.864,199.349
1964,201.988,203.664,168.348,174.612,176.094,133.622,272.673,93.875,225.486,297.905,216.652,315.865
1965,84.365,178.042,151.989,259.214,205.189,137.722,97.938,172.269,133.571,246.969,275.41,309.3
1966,250.659,236.58,200.525,210.453,225.253,180.312,182.552,189.268,153.558,280.103,318.661,299.896
1967,188.394,176.794,74.947,251.059,285.206,137.59,141.284,71.766,106.803,228.604,379.436,232.737
1968,73.169,34.882,231.913,137.162,180.908,204.484,138.323,149.426,161.687,358.499,248.36,251.16
1969,119.15,86.515,203.875,177.467,233.569,170.028,140.816,209.531,178.529,255.025,346.024,246.015
1970,239.427,113.779,150.067,206.332,246.365,165.234,148.4,143.608,250.817,186.938,239.181,220.227
1971,145.866,108.389,120.256,78.593,190.296,138.979,109.91,224.785,154.658,189.753,208.238,260.062
1972,71.388,107.53,109.046,214.509,155.173,140.963,59.396,121.17,198.763,202.27,240.224,278.751
1973,160.987,77.872,157.803,172.466,176.881,144.369,118.143,197.414,191.195,262.475,250.62,186.219
1974,29.151,183.276,106.951,184.506,181.599,161.762,185.513,136.247,201.008,147.35,207.96,144.552
1975,135.144,200.294,123.533,236.078,166.753,123.669,167.697,152.31,187.175,174.593,335.419,132.663
1976,26.934,42.219,94.756,209.08,151.265,140.731,155.802,169.309,168.604,259.573,236.608,201.301
