Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1940,24.549,25.042,26.119,25.932,26.282,26.482,26.675,26.337,25.94,25.828,25.25,24.782
1941,24.982,25.426,25.895,26.328,26.235,26.62,26.15,26.18,25.448,25.553,25.39,25.116
1942,24.564,25.072,25.609,25.785,26.501,26.454,25.768,25.865,25.575,25.617,24.99,24.281
1943,24.674,25.025,25.299,25.763,26.428,26.838,26.198,25.878,25.512,25.234,25.021,24.619
1944,24.499,25.281,25.693,25.856,25.845,26.13,26.082,26.211,25.835,25.918,25.385,25.165
1945,24.75,24.888,24.575,25.675,26.159,26.177,25.934,25.729,26.139,25.651,24.93,24.874
1946,24.578,24.238,25.653,25.76,26.182,26.382,26.264,26.14,25.96,25.579,25.425,25.128
1947,25.069,25.25,25.737,26.157,26.188,26.277,25.837,25.643,25.456,25.6,25.367,24.638
1948,24.486,25.178,26.134,26.634,26.367,26.221,26.012,25.999,25.904,25.96,25.224,25.188
1949,25.35,25.665,26.729,27.245,27.275,26.793,26.201,25.969,25.78,26.288,25.854,25.336
1950,25.803,25.858,26.145,26.334,26.5,26.408,25.953,25.552,26.118,25.862,25.375,25.13
1951,24.79,25.221,25.679,26.427,26.419,26.408,25.746,26.243,26.124,26.163,26.233,25.664
1952,25.483,25.852,26.28,26.399,26.834,26.506,26.125,26.175,26.116,26.287,25.62,25.329
1953,25.184,25.311,25.88,26.542,26.496,26.491,25.781,26.269,25.927,26.012,26.095,25.619
1954,25.32,25.376,25.865,26.142,26.323,26.299,25.771,26.012,25.967,25.514,25.268,24.897
1955,24.515,25.534,25.858,26.124,26.938,26.585,26.05,25.678,25.692,25.949,26.044,24.779
1956,24.589,25.348,25.887,26.361,26.446,26.386,26.106,25.863,25.724,25.429,25.352,24.983
1957,24.906,25.485,25.863,26.233,26.265,26.7,26.355,26.282,26.209,25.993,25.791,25.211
1958,25.808,25.669,26.322,26.834,27.036,26.993,26.97,26.223,26.481,26.211,25.74,25.484
1959,25.218,25.838,25.997,26.354,26.768,26.522,26.429,26.18,26.426,26.233,25.706,25.627
1960,25.276,25.376,26.07,26.524,27.058,26.595,26.161,26.454,26.065,26.193,25.903,25.413
1961,25.18,25.685,26.466,26.644,27.087,26.525,26.123,26.131,26.145,26.405,25.721,25.214
1962,24.946,25.165,25.825,26.338,27.072,26.48,26.469,25.608,26.128,26.214,25.726,25.345
1963,24.696,24.651,25.892,26.749,27.03,26.754,26.213,26.22,26.26,25.93,25.847,25.401
1964,25.702,25.496,26.054,26.722,27.049,26.449,25.669,26.185,26.135,25.873,25.709,24.398
1965,24.626,25.363,25.638,26.067,26.518,26.468,26.119,25.772,26.109,25.977,25.896,25.528
1966,25.081,25.651,26.184,26.624,26.695,26.246,26.04,26.089,26.164,25.783,25.666,25.381
1967,25.076,25.014,25.714,25.998,26.464,26.277,26.239,26.41,26.215,25.901,25.27,24.783
1968,24.88,25.632,25.733,26.215,26.595,26.579,26.386,26.445,26.247,25.852,25.562,25.331
1969,25.796,25.93,26.412,26.593,26.97,26.721,26.291,25.751,26.177,25.921,25.53,25.159
1970,25.355,25.607,26.585,26.657,26.742,26.818,26.132,26.157,25.881,26.237,25.731,25.364
1971,24.667,25.039,25.643,26.656,26.688,26.435,26.261,25.504,26.201,26.004,25.329,24.89
1972,24.914,25.776,25.876,26.206,26.668,26.502,26.878,26.416,26.258,26.151,26.167,25.491
1973,25.563,26.189,26.344,27.048,26.984,26.891,26.819,26.126,26.253,26.165,25.998,24.933
1974,24.902,25.085,25.564,26.497,26.589,26.319,25.913,26.36,25.803,26.362,25.784,25.56
1975,25.371,25.377,25.988,26.561,26.55,26.507,25.698,26.267,25.966,26.116,25.249,25.277
1976,24.811,25.832,26.439,26.361,26.492,26.163,26.071,25.976,26.096,26.086,25.705,25.295
1977,25.515,24.996,25.735,26.662,26.766,26.659,26.325,25.889,26.146,26.313,25.826,25.855
1978,25.506,26.003,26.618,26.671,27.093,26.886,26.287,26.322,26.23,26.13,25.858,25.33
1979,25.329,25.904,26.621,26.799,27.17,26.821,26.352,26.563,26.361,26.404,25.815,25.632
1980,25.394,25.801,26.434,26.714,27.127,27.02,26.68,26.121,26.398,26.503,25.917,25.552
1981,25.268,25.67,26.233,26.557,26.707,26.976,26.464,26.743,26.123,26.416,26.219,25.307
1982,25.022,25.898,26.148,26.416,26.833,26.951,26.555,26.258,26.27,26.034,25.998,25.521
1983,25.694,26.462,27.865,28.174,27.218,27.126,26.668,26.739,26.401,26.54,26.07,24.972
1984,24.814,25.052,25.81,26.522,26.605,26.73,26.033,26.496,25.915,26.219,25.676,25.274
1985,25.517,26.249,25.856,26.785,26.926,26.966,25.945,26.398,25.979,26.014,25.833,25.494
1986,24.975,25.733,25.793,26.537,27.139,26.846,26.501,26.527,26.152,26.11,25.905,25.67
1987,25.026,25.837,26.505,26.798,26.861,27.496,26.824,26.554,26.664,26.753,26.783,25.78
1988,25.872,26.373,26.62,26.982,27.542,27.072,26.794,26.26,26.483,26.718,25.947,25.407
1989,25.634,25.623,25.834,26.516,26.962,26.937,26.841,26.538,26.268,26.32,26.019,25.458
1990,25.483,26.308,26.779,27.28,27.361,27.232,26.401,26.842,26.443,26.359,26.416,25.574
1991,25.609,26.126,26.699,26.798,26.667,27.422,27.025,26.852,26.652,26.248,25.283,24.97
1992,25.553,26.14,26.614,27.111,26.987,27.273,26.37,26.737,26.512,26.443,25.508,25.256
1993,25.575,26.054,26.125,26.925,27.149,27.438,26.636,26.877,26.586,26.37,26.084,25.914
1994,25.906,26.118,25.921,26.926,27.086,27.015,27.188,26.631,27.095,26.657,25.624,26.063
1995,25.701,25.563,26.609,26.788,27.413,27.494,26.857,26.569,26.87,26.742,26.259,25.621
1996,25.212,25.457,26.181,26.848,27.257,27.047,27.121,26.674,26.856,26.583,26.479,25.764
1997,25.987,26.252,26.622,26.595,27.495,27.084,26.901,27.039,26.634,26.557,26.448,26.101
1998,26.693,27.33,27.668,27.922,28.189,27.703,27.166,26.634,27.165,27.273,27.016,26.134
1999,25.834,26.271,26.602,27.353,27.024,26.921,26.663,26.429,26.628,26.393,26.296,25.934
2000,25.493,26.073,26.675,26.924,27.535,26.789,26.912,26.483,26.574,26.895,26.412,26.254
2001,25.771,25.958,26.77,26.967,27.524,27.202,27.008,26.941,26.786,26.851,26.275,25.936
2002,25.849,26.115,26.808,27.237,27.711,27.3,27.186,26.798,26.634,26.92,26.571,26.539
2003,26.008,26.395,27.092,27.09,27.88,27.381,26.84,27.052,26.974,26.918,26.41,25.921
2004,26.227,26.565,26.946,27.633,27.783,27.439,26.41,26.89,26.284,26.42,26.344,25.864
2005,25.753,27.566,27.414,27.52,27.513,27.725,26.979,27.185,27.156,26.728,26.482,26.46
2006,26.044,26.585,27.441,27.109,27.258,27.102,27.267,26.886,26.614,26.943,26.292,25.996
2007,25.862,26.286,26.571,27.084,27.355,27.35,26.902,26.718,26.902,26.667,26.41,25.833
2008,26.027,26.023,25.982,26.808,27.3,27.056,26.641,26.639,26.912,26.76,26.733,26.073
2009,25.773,26.713,26.452,27.446,27.788,27.654,27.227,27.008,27.32,27.154,26.376,26.18
2010,26.535,27.608,27.457,27.724,28.184,27.686,27.093,27.12,26.976,27.231,26.674,26.05
2011,25.466,26.439,26.554,27.141,27.589,27.522,27.404,27.062,27.029,26.587,26.477,25.999
2012,26.239,26.441,26.644,27.042,27.458,27.811,26.952,26.923,27.032,26.872,26.577,26.115
2013,26.525,26.066,27.468,27.735,27.722,28.147,27.225,27.123,26.941,26.963,26.834,26.186
