Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1940,3.395,3.172,2.157,1.783,2.291,2.458,3.522,3.053,2.419,2.428,1.82,2.456
1941,2.362,2.576,2.018,2.431,2.03,2.434,2.883,2.911,2.283,2.018,2.036,2.322
1942,2.731,2.4,2.644,1.65,2.032,1.863,2.451,2.729,2.392,2.972,2.617,3.232
1943,4.825,3.938,2.513,1.866,2.602,2.684,2.994,2.863,2.694,2.657,1.974,3.301
1944,4.084,3.198,2.446,1.994,2.14,2.965,2.857,2.724,2.234,2.146,2.118,3.532
1945,2.644,2.346,3.294,2.252,2.367,2.89,2.579,2.402,2.337,2.744,1.618,2.654
1946,3.073,2.953,2.563,1.948,2.45,3.373,2.905,2.728,2.653,1.703,1.792,2.263
1947,2.617,2.8,2.14,1.822,1.962,2.573,2.537,2.111,2.385,2.957,3.275,2.88
1948,4.461,3.289,2.598,1.854,1.836,2.844,2.625,2.702,2.225,1.976,3.59,3.728
1949,4.302,3.141,3.097,2.526,2.325,2.71,2.522,2.719,2.161,2.098,2.132,2.685
1950,3.047,3.008,2.41,2.026,1.725,2.32,2.471,2.252,2.469,1.927,2.721,3.677
1951,3.858,2.876,3.371,2.223,2.609,2.657,2.608,2.683,2.577,2.11,1.816,2.823
1952,4.22,3.057,2.013,2.078,1.863,2.33,2.82,2.33,2.428,2.729,2.613,2.909
1953,3.664,2.681,2.52,1.78,2.036,2.834,2.773,2.796,2.658,2.25,2.361,3.026
1954,2.743,2.926,2.181,2.346,2.071,2.322,2.669,2.604,2.324,2.263,3.392,3.2
1955,4.218,3.136,2.548,2.008,2.388,1.981,2.279,2.162,2.263,2.116,3.657,3.133
1956,3.104,2.562,2.404,2.222,2.027,2.528,2.29,2.59,2.394,2.093,2.425,3.237
1957,3.657,3.622,2.019,1.815,1.978,2.62,2.685,2.7,2.421,1.917,2.495,2.974
1958,3.594,3.658,2.48,1.956,2.166,2.522,2.424,2.365,2.361,2.626,2.686,3.722
1959,4.163,2.871,2.522,1.761,1.927,2.458,2.67,3.153,2.75,1.937,2.611,2.97
1960,3.058,3.656,2.203,2.323,1.912,2.766,2.502,2.629,2.531,2.287,2.972,2.912
1961,4.168,3.32,2.52,2.202,2.404,2.456,2.913,2.839,2.394,2.442,2.414,2.598
1962,4.202,4.422,2.597,1.947,2.352,2.24,2.95,2.42,2.442,2.81,2.654,3.255
1963,4.617,4.656,3.553,2.714,2.111,2.812,3.057,2.72,2.615,2.19,1.949,2.894
1964,2.435,3.758,3.167,1.834,2.875,2.363,2.55,2.615,2.875,2.927,3.506,3.551
1965,4.269,2.901,2.81,2.148,2.441,2.387,2.63,2.839,2.198,2.274,2.432,2.699
1966,2.819,2.824,2.205,1.736,2.421,2.311,2.92,2.801,2.348,2.315,2.55,2.391
1967,2.986,3.712,2.834,1.947,2.127,2.747,2.848,2.807,2.461,2.236,2.143,4.259
1968,3.517,3.577,3.207,1.842,2.252,1.84,2.261,2.454,2.512,2.252,1.988,2.806
1969,2.528,3.057,2.745,2.301,2.097,2.288,3.286,2.525,2.638,2.344,1.956,3.334
1970,3.529,3.695,2.401,2.133,2.093,2.559,2.647,2.88,2.482,2.998,2.315,2.195
1971,4.323,3.463,2.585,2.061,2.285,2.234,2.629,2.285,2.266,3.06,3.103,2.712
1972,3.949,2.632,2.56,1.85,2.189,3.105,3.513,2.788,2.506,2.034,2.163,2.81
1973,3.42,3.415,2.68,1.919,1.923,2.134,2.713,2.396,2.341,2.095,2.91,3.171
