Year,January,February,March,April,May,June,July,August,September,October,November,December
1940,144.82,56.62,89.97,207.66,220.19,119.87,88.38,113.4,168.63,171.04,214.81,284.7
1941,208.97,137.64,225.4,194.14,336.45,106.22,127.01,148.41,150.94,194.78,352.71,315.64
1942,340.52,142.27,140.38,209.89,202.92,143.35,132.28,171,228.71,201.45,241.06,257.35
1943,33.22,47.11,105.69,70.09,143.44,73.41,126.82,139,249.26,310.25,337.3,200.09
1944,88.29,48.01,76.47,201.69,227.53,76.52,178.92,100.53,151.52,244.5,236.37,202.7
1945,292.21,397.52,419.46,190.94,178.21,153.14,182.77,202.34,143.57,232.81,347.42,229.9
1946,220.97,447.77,220.49,243.99,168.46,92.43,68.54,89.29,100.14,241.99,228.13,216.36
1947,207.23,178.69,210.64,190.77,224.74,207.37,199.62,312.83,275.8,283.74,247.36,254.51
1948,231.84,61.18,72.14,100.93,140.61,180.09,194.82,162.83,135.96,173.95,147.19,151.89
1949,12.83,46.47,15.67,1.03,0.48,28.11,76.33,52.34,66.61,36.3,113.81,88.4
1950,28.5,133.29,157.01,208.17,197.32,208.56,206.72,276.31,183.68,168.1,201.81,111.52
1951,159.86,133.16,108.97,122.57,85.8,87.43,141.55,91.77,76.67,134.92,178.34,205.89
1952,257.24,99.34,237.69,218.41,155.26,100.26,96.02,76.75,142.65,216.48,247.77,131.07
1953,187.27,201.28,296.35,234.77,201.8,161.64,198.38,149.42,127.42,192.18,221.63,214.32
1954,285.31,240.08,214.75,324.84,185.55,234.39,221.78,203.76,153.86,283.87,289.81,349.56
1955,307.59,76.6,139.71,242.96,169.39,141.5,161,236.04,262.64,299.77,144.09,267.73
1956,216.75,156.14,165.7,232.73,239.06,122.39,137.29,185.72,190.89,333.94,383.27,221.09
1957,139.58,118.57,302.29,259.15,299.18,148.87,185.65,117.9,166.57,238.05,204.1,344.83
1958,104.76,144.1,190.22,143.51,262.7,116.8,84.31,258.32,213.84,300.29,373.08,162.54
1959,159.28,144.9,171.35,235.62,226.51,227.74,112.69,104.19,91.6,227.7,266.93,168.04
1960,169.75,122.39,137.32,192.04,172.54,120.34,156.69,171.53,242.21,188.5,226.08,208.43
1961,120.32,112.85,89.82,199.76,167.46,121.06,89.76,86.61,52.93,92.34,215.61,284.11
1962,176.99,83,264.25,175.27,185.48,144.48,91.81,202.21,144.2,209.55,237.69,122.23
1963,96.22,154.5,86.15,71.53,158.69,96.2,117.32,125.64,105.17,211.97,166.87,199.38
1964,201.99,203.69,168.34,174.63,176.09,133.56,272.76,93.85,225.5,297.82,216.69,315.84
1965,84.33,178.07,151.96,259.27,205.23,137.73,97.86,172.19,133.49,246.97,275.42,309.31
1966,250.63,236.58,200.56,210.51,225.22,180.29,182.59,189.21,153.63,280.11,318.7,299.9
1967,188.33,176.77,74.97,251.08,285.24,137.56,141.32,71.79,106.83,228.61,379.45,232.71
1968,73.14,34.91,231.93,137.16,180.88,204.49,138.36,149.42,161.58,358.5,248.4,251.17
1969,119.15,86.47,203.87,177.44,233.56,170,140.85,209.42,178.54,255.03,346,245.99
1970,239.43,113.76,150.06,206.29,246.33,165.21,148.36,143.55,250.81,186.98,239.19,220.26
1971,145.87,108.41,120.27,78.57,190.34,138.92,109.97,224.8,154.55,189.75,208.24,260.07
1972,71.43,107.55,108.99,214.53,155.14,141.04,59.3,121.09,198.79,202.27,240.2,278.73
1973,160.99,77.87,157.82,172.4,176.85,144.41,118.2,197.31,191.23,262.39,250.63,186.22
1974,29.15,183.28,106.92,184.48,181.64,161.77,185.55,136.29,201.02,147.35,207.93,144.58
1975,135.11,200.27,123.45,236.1,166.79,123.64,167.81,152.31,187.12,174.6,335.43,132.67
1976,26.9,42.24,94.78,209.08,151.26,140.77,155.81,169.28,168.63,259.62,236.61,201.34
1977,84.19,143.29,79.77,118.21,177.73,146.49,172.48,166.27,177.15,189.75,246,162.36
1978,120.83,88.92,230.6,156.39,162.08,131.21,180.46,160.43,170.57,205.61,296.8,152.6
1979,100.03,147.19,114.66,265.45,134.15,201.12,173.78,131.56,229.34,264.43,349.82,121.87
1980,114.94,99.3,194.01,242.83,177.85,155.88,149.94,165.74,183.86,215.18,299.55,265.18
1981,59.94,113.38,173.49,239.06,226.17,83.89,152.07,82.36,231.81,263.99,209.49,201.16
1982,104.36,112.82,244.74,248.91,183.83,93.95,82.44,118.97,115.07,218.99,270.13,326.31
1983,169.82,57.4,39.44,108.08,256.08,148.71,200.46,147.12,187,229.6,211.79,335.63
1984,319.04,497.21,294.11,330.4,316.5,172.19,259.34,164.25,268.26,232.03,371.52,270.74
1985,133.8,284.23,272.35,172.79,226.82,72.22,180.92,163.49,213.37,286.26,281.01,286.45
1986,276,131.07,347.44,322.54,201.56,169.84,156.74,95.62,316.2,369.72,258.69,237.33
1987,312.5,67.18,214.75,237,234.92,173.05,146.04,208.72,224.19,300.07,341.55,433.28
1988,187.13,200.51,309.36,232.6,235.04,193.65,202.92,354.65,252.47,184.56,306.08,99.51
1989,257.28,89.32,300.83,230.6,259.1,169.04,194.77,162.37,227.74,289.37,231.99,239.28
1990,146.74,131.22,73.91,251.83,240.59,155.06,161.24,141.91,225.34,288.21,246.63,214.26
1991,179.38,88.81,164.79,263.09,310.07,162.03,132.93,146.94,144.36,253.29,415.64,704.91
1992,125.77,185.05,187.01,209.55,259.15,172.35,245.86,154.91,198.44,250.96,287.86,291.45
1993,380.8,77.61,288.22,257.9,297.23,160.45,249.52,117.07,154.96,221.24,393.46,289.32
1994,129.33,196.44,403.66,235.8,230.89,213.32,48.44,102.95,73.75,193.96,415.08,223.22
1995,259.68,344.06,243.85,258.42,229.53,218.71,213.94,272.94,187.27,289.89,311.12,283.34
1996,145.76,163.94,200.27,284.28,180.57,214.74,165.55,247.87,190.82,313.89,287.13,366.89
1997,24.35,207.69,171.84,300.11,153.98,134.42,116.07,156.86,95.51,257.8,299.55,365.65
